Product Name,Sales,Order Date
Serrated Blade or Curved Handle Hand Letter Openers,6.28,10/28/2011
"Brites Rubber Bands, 1 1/2 oz. Box",3.96,7/4/2013
Acme Rosewood Handle Letter Opener,11.91,12/26/2011
Staples,7.36,6/9/2011
Acme Rosewood Handle Letter Opener,15.88,8/24/2013
"Super Bands, 12/Pack",5.58,11/3/2014
Alliance Rubber Bands,5.04,11/8/2012
Tennsco Commercial Shelving,20.34,12/24/2011
Rubber Band Ball,11.22,2/20/2014
Newell 346,2.3,8/16/2012
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,8/3/2011
Martin-Yale Premier Letter Opener,12.88,4/13/2012
Maxell 4.7GB DVD-R 5/Pack,0.99,10/13/2014
Plymouth Boxed Rubber Bands by Plymouth,9.42,7/25/2012
Newell 326,4.22,12/11/2012
Wilson Jones Easy Flow II Sheet Lifters,1.44,10/2/2014
"Rogers Jumbo File, Granite",54.32,9/5/2014
Eldon Shelf Savers Cubes and Bins,27.92,7/5/2013
Newell 321,5.25,5/8/2012
Newell 320,6.85,12/18/2012
Belkin F8E887 USB Wired Ergonomic Keyboard,47.98,9/24/2014
Woodgrain Magazine Files by Perma,8.94,12/12/2011
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,7.92,11/13/2014
Newell 333,2.78,9/6/2014
Acme Value Line Scissors,5.84,4/27/2012
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",5.34,6/26/2014
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12.99,2/21/2013
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",3.39,11/11/2011
"Neat Ideas Personal Hanging Folder Files, Black",10.74,9/1/2014
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",9.33,6/25/2011
Binder Clips by OIC,2.37,4/8/2011
Eldon Shelf Savers Cubes and Bins,41.88,9/8/2012
Staples,4.51,9/28/2012
Newell 323,3.36,3/9/2014
"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.41,3/8/2012
Newell 324,9.24,7/23/2011
Eldon Shelf Savers Cubes and Bins,48.86,11/17/2014
Avery Reinforcements for Hole-Punch Pages,3.17,11/24/2012
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",5.98,5/6/2013
Newell 310,3.52,5/20/2014
"Belkin 19"" Vented Equipment Shelf, Black",102.96,6/12/2014
Design Ebony Sketching Pencil,4.17,12/23/2014
"Eldon Regeneration Recycled Desk Accessories, Smoke",3.48,12/26/2011
"ACCOHIDE 3-Ring Binder, Blue, 1""",3.3,8/7/2012
Avery Non-Stick Binders,3.59,10/23/2012
Newell 313,13.12,12/11/2012
Newell 31,4.13,12/20/2011
"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",4.2,12/24/2013
Avery 509,2.61,12/7/2012
Eldon Gobal File Keepers,30.28,9/17/2011
Avery Hi-Liter Fluorescent Desk Style Markers,3.38,3/14/2011
Newell 308,5.04,10/31/2012
DIXON Oriole Pencils,5.16,6/21/2013
"Acco Banker's Clasps, 5 3/4""-Long",2.88,6/25/2014
Lenovo 17-Key USB Numeric Keypad,54.38,9/29/2014
Cardinal Holdit Business Card Pockets,3.98,4/25/2013
Newell 314,5.58,5/20/2014
Binder Clips by OIC,2.96,11/19/2014
Newell 344,5.56,11/22/2014
Newell 344,5.56,8/29/2014
Staples,4.67,10/2/2011
Sterilite Officeware Hinged File Box,16.77,7/11/2013
Avery 511,3.08,8/27/2012
"Eldon Image Series Desk Accessories, Burgundy",4.18,11/14/2013
Avery 488,3.15,8/16/2013
Newell 307,5.46,4/20/2013
